US009052008 43.7333 -96.6333 Minnehaha_County South_Dakota
US10RMHS145 40.5268 -105.1113 Fort_Collins Larimer_County
US10adam001 40.5680 -98.5069 Adams_County Nebraska
US10adam002 40.5093 -98.5493 Adams_County Nebraska
US10adam003 40.4663 -98.6537 Holstein Adams_County
US10adam004 40.4798 -98.4026 Adams_County Nebraska
US10adam006 40.4372 -98.5912 Adams_County Nebraska
US10adam007 40.5389 -98.4713 Adams_County Nebraska
US10adam008 40.4953 -98.2973 Adams_County Nebraska
US10adam010 40.5532 -98.6297 Adams_County Nebraska
US10adam011 40.4078 -98.6161 Adams_County Nebraska
US10adam012 40.6200 -98.3900 Hastings Adams_County
US10adam013 40.6600 -98.4200 Adams_County Nebraska
US10adam015 40.6258 -98.7034 Adams_County Nebraska
US10adam016 40.6400 -98.3949 Hastings Adams_County
US10adam017 40.6567 -98.4789 Adams_County Nebraska
US10adam019 40.6114 -98.5543 Adams_County Nebraska
US10adam022 40.5936 -98.4299 Hastings Adams_County
US10adam023 40.5981 -98.4732 Adams_County Nebraska
US10adam024 40.3901 -98.2715 Clay_County Nebraska
US10adam025 40.6004 -98.3986 Hastings Adams_County
US10adam027 40.5998 -98.4723 Adams_County Nebraska
US10adam028 40.4653 -98.6517 Holstein Adams_County
US10adam029 40.5536 -98.3166 Adams_County Nebraska
US10adam032 40.3571 -98.4208 Adams_County Nebraska
US10adam033 40.4127 -98.3538 Adams_County Nebraska
US10adam034 40.6129 -98.6482 Adams_County Nebraska
US10adam035 40.6070 -98.4588 Adams_County Nebraska
US10adam036 40.5609 -98.4020 Adams_County Nebraska
US10adam039 40.6020 -98.4048 Hastings Adams_County
US10adam041 40.4340 -98.4389 Ayr Adams_County
US10adam043 40.5917 -98.5092 Juniata Adams_County
US10adam045 40.6121 -98.3888 Hastings Adams_County
US10adam046 40.5443 -98.4208 Adams_County Nebraska
US10adam047 40.5917 -98.4287 Hastings Adams_County
US10adam051 40.4166 -98.5341 Adams_County Nebraska
US10adam056 40.5800 -98.3717 Hastings Adams_County
US10ante003 42.3374 -98.2405 Orchard Antelope_County
US10arth002 41.3955 -101.4074 Arthur_County Nebraska
US10bann001 41.6581 -103.6151 Banner_County Nebraska
US10bann005 41.6415 -103.9481 Banner_County Nebraska
US10bann006 41.5589 -103.7407 Harrisburg Banner_County
US10bann007 41.5037 -103.7634 Banner_County Nebraska
US10bann008 41.6363 -103.6842 Banner_County Nebraska
US10bann009 41.6804 -103.6852 Banner_County Nebraska
US10blai001 41.9138 -99.9644 Blaine_County Nebraska
US10blai003 41.7609 -100.2353 Blaine_County Nebraska
US10blai004 41.9043 -100.2657 Blaine_County Nebraska
US10blai005 42.0189 -100.1227 Blaine_County Nebraska
US10blai006 42.0715 -100.0649 Blaine_County Nebraska
US10blai008 41.8030 -100.2225 Blaine_County Nebraska
US10blai010 41.9224 -99.7449 Blaine_County Nebraska
US10blai011 41.8838 -100.1740 Blaine_County Nebraska
US10blai012 41.8194 -100.1071 Blaine_County Nebraska
US10boon002 41.5249 -97.9933 Boone_County Nebraska
US10boon003 41.7571 -98.2343 Boone_County Nebraska
US10boon004 41.6840 -97.9872 Boone_County Nebraska
US10boon005 41.6402 -97.9951 Boone_County Nebraska
US10boon006 41.5020 -98.1580 Boone_County Nebraska
US10boon007 41.8655 -98.2295 Boone_County Nebraska
US10boon008 41.6273 -98.2379 Primrose Boone_County
US10boon009 41.6685 -97.8945 Boone_County Nebraska
US10boon010 41.6689 -98.1166 Boone_County Nebraska
US10boon011 41.8518 -98.0448 Boone_County Nebraska
US10box_001 42.1911 -102.9518 Box_Butte_County Nebraska
US10box_003 42.0170 -102.9953 Box_Butte_County Nebraska
US10box_004 42.1486 -102.7490 Box_Butte_County Nebraska
US10box_005 42.3195 -103.0705 Hemingford Box_Butte_County
US10box_006 42.3653 -102.9952 Box_Butte_County Nebraska
US10box_007 42.1675 -102.8005 Box_Butte_County Nebraska
US10box_008 42.2712 -103.1410 Box_Butte_County Nebraska
US10box_009 42.3968 -102.8848 Box_Butte_County Nebraska
US10box_010 42.1160 -103.4295 Box_Butte_County Nebraska
US10box_013 42.1138 -102.8901 Box_Butte_County Nebraska
US10box_014 42.2981 -102.8596 Box_Butte_County Nebraska
US10box_020 42.3167 -103.0787 Hemingford Box_Butte_County
US10box_023 42.4093 -102.7894 Box_Butte_County Nebraska
US10box_024 42.3263 -102.9934 Box_Butte_County Nebraska
US10box_030 42.2357 -103.3072 Box_Butte_County Nebraska
US10boyd002 42.9095 -98.8492 Butte Boyd_County
US10boyd003 42.9141 -98.6603 Boyd_County Nebraska
US10boyd005 42.9096 -98.8428 Butte Boyd_County
US10brow001 42.5359 -99.7092 Long_Pine Brown_County
US10brow003 42.6360 -100.0150 Brown_County Nebraska
US10brow004 42.5375 -100.1208 Brown_County Nebraska
US10brow005 42.6748 -99.7695 Brown_County Nebraska
US10brow006 42.5718 -100.0545 Johnstown Brown_County
US10brow007 42.6988 -100.0668 Brown_County Nebraska
US10brow008 42.3248 -100.0610 Brown_County Nebraska
US10brow009 42.3171 -100.0112 Brown_County Nebraska
US10buff001 40.7826 -99.1023 Buffalo_County Nebraska
US10buff002 40.7062 -99.1142 Kearney Buffalo_County
US10buff003 40.9445 -98.8465 Buffalo_County Nebraska
US10buff004 40.6908 -99.0940 Kearney Buffalo_County
US10buff005 40.8588 -98.9216 Buffalo_County Nebraska
US10buff006 40.9223 -99.3868 Buffalo_County Nebraska
US10buff007 40.9903 -98.8699 Buffalo_County Nebraska
US10buff008 40.9593 -98.9631 Buffalo_County Nebraska
US10buff010 40.9789 -99.0637 Buffalo_County Nebraska
US10buff011 40.7725 -98.7306 Shelton Buffalo_County
US10buff012 40.7494 -98.8479 Gibbon Buffalo_County
US10buff013 40.6995 -99.4062 Buffalo_County Nebraska
US10buff015 40.8477 -99.3277 Buffalo_County Nebraska
US10buff017 40.7236 -99.1035 Buffalo_County Nebraska
US10buff018 40.6650 -99.0852 Kearney Buffalo_County
US10buff019 40.9728 -98.8024 Buffalo_County Nebraska
US10buff020 40.7407 -99.0647 Kearney Buffalo_County
US10buff025 40.7412 -99.1602 Buffalo_County Nebraska
US10buff034 40.8144 -98.8403 Buffalo_County Nebraska
US10buff036 40.7853 -99.1653 Riverdale Buffalo_County
US10buff039 40.8153 -98.8355 Buffalo_County Nebraska
US10burt001 41.7267 -96.1557 Burt_County Nebraska
US10burt002 41.6965 -96.3619 Burt_County Nebraska
US10burt003 41.8593 -96.4701 Burt_County Nebraska
US10burt004 41.7859 -96.4065 Burt_County Nebraska
